iter	Passed	Remaining
780	951	266
781	951	265
782	952	263
783	953	262
784	953	261
785	954	259
786	955	258
787	956	257
788	956	255
789	957	254
790	958	253
791	958	251
792	959	250
793	960	249
794	960	247
795	961	246
796	962	245
797	963	243
798	963	242
799	964	241
800	965	239
801	965	238
802	966	237
803	967	235
804	967	234
805	968	233
806	969	231
807	970	230
808	970	229
809	971	227
810	972	226
811	972	225
812	973	223
813	974	222
814	975	221
815	976	220
816	977	218
817	977	217
818	978	216
819	979	214
820	980	213
821	981	212
822	982	211
823	983	209
824	984	208
825	985	207
826	985	206
827	986	204
828	987	203
829	988	202
830	988	201
831	989	199
832	990	198
833	991	197
834	991	195
835	992	194
836	993	193
837	993	192
838	994	190
839	995	189
840	995	188
841	996	187
842	997	185
843	998	184
844	999	183
845	1000	182
846	1001	180
847	1001	179
848	1002	178
849	1003	177
850	1004	175
851	1004	174
852	1005	173
853	1006	172
854	1007	170
855	1007	169
856	1008	168
857	1009	167
858	1009	165
859	1010	164
860	1011	163
861	1012	162
862	1013	160
863	1014	159
864	1015	158
865	1015	157
866	1016	155
867	1017	154
868	1018	153
869	1018	152
870	1019	150
871	1020	149
872	1020	148
873	1021	147
874	1022	146
875	1022	144
876	1023	143
877	1024	142
878	1025	141
879	1025	139
880	1026	138
881	1027	137
882	1029	136
883	1029	135
884	1030	133
885	1031	132
886	1032	131
887	1032	130
888	1033	129
889	1034	127
890	1035	126
891	1035	125
892	1036	124
893	1037	123
894	1038	121
895	1038	120
896	1039	119
897	1040	118
898	1041	117
899	1042	115
900	1043	114
901	1044	113
902	1045	112
903	1045	111
904	1046	109
905	1047	108
906	1048	107
907	1049	106
908	1049	105
909	1050	103
910	1051	102
911	1052	101
912	1052	100
913	1053	99
914	1054	97
915	1055	96
916	1056	95
917	1057	94
918	1058	93
919	1059	92
920	1059	90
921	1060	89
922	1061	88
923	1062	87
924	1062	86
925	1063	84
926	1064	83
927	1065	82
928	1065	81
929	1066	80
930	1067	79
931	1068	77
932	1069	76
933	1069	75
934	1071	74
935	1072	73
936	1073	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1076	66
942	1077	65
943	1078	63
944	1079	62
945	1080	61
946	1081	60
947	1082	59
948	1082	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1088	51
955	1088	50
956	1089	48
957	1090	47
958	1091	46
959	1091	45
960	1092	44
961	1093	43
962	1094	42
963	1095	40
964	1095	39
965	1096	38
966	1097	37
967	1098	36
968	1098	35
969	1099	34
970	1100	32
971	1101	31
972	1102	30
973	1103	29
974	1103	28
975	1104	27
976	1105	26
977	1106	24
978	1107	23
979	1107	22
980	1108	21
981	1109	20
982	1110	19
983	1110	18
984	1111	16
985	1112	15
986	1113	14
987	1114	13
988	1115	12
989	1116	11
990	1117	10
991	1118	9
992	1119	7
993	1120	6
994	1121	5
995	1122	4
996	1122	3
997	1123	2
998	1124	1
999	1124	0
